"","Observer.ID","Route.ID","Year","Visit","Date","Point.ID","Point.Start.Time","Shrub.Cover","Cheatgrass.Cover","Trees.Count","Species","Minute","Distance","How.Detected","Song.Also","Direction","Sex","Group.Size","Temp.Start","Temp.End","Wind.Start","Wind.End","Sky.End","X.Coord","Y.Coord","Notes"
"1","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",1,79,"S","","S","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"2","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",1,45,"S","","E","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"3","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",1,71,"S","","NE","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"4","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",1,53,"S","","N","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"5","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"VESP",1,26,"S","","W","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"6","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"GTTO",1,12,"S","","SE","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"7","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"GTTO",1,47,"S","","NE","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"8","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"GTTO",2,14,"C","","S","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"9","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"GTTO",2,35,"C","","E","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"10","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"CHUK",1,334,"S","","SW","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"11","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"VESP",2,60,"S","","E","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"12","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",3,35,"S","","E","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"13","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"NOBI",4,NA,"","","","",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"14","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"WEME",5,232,"S","","S","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"15","will_harrod","UT-C08","Y3","V1","20240513","08","05:49",3,0,0,"BRSP",6,95,"S","","N","U",NA,6,10,2,1,"Partly Cloudy",-113.965501652897,41.7881527662169,". "
"16","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"GTTO",1,71,"S","","NW","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
"17","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"GTTO",1,131,"S","","SW","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
"18","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"BRSP",1,148,"S","","W","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
"19","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"BRSP",1,181,"S","","SW","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
"20","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"BRSP",1,159,"S","","NW","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
"21","will_harrod","UT-C08","Y3","V1","20240513","12","06:00",1,0,0,"ROWR",1,41,"S","","NE","U",NA,6,10,2,1,"Partly Cloudy",-113.965468827256,41.7859614739036,". Almost no sage on this slope. All birds heard from far away down slope"
