"","Observer.ID","Route.ID","Year","Visit","Date","Point.ID","Point.Start.Time","Shrub.Cover","Shrub.Height","Cheatgrass.Cover","Trees.Count","Species","Minute","Distance","How.Detected","Song.Also","Direction","Sex","Group.Size","Temp.Start","Temp.End","Wind.Start","Wind.End","Sky.End","X.Coord","Y.Coord","Notes"
"1","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"VESP",1,48,"S","","W","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"2","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"COPO",1,242,"S","","S","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"3","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"MODO",2,302,"S","","SE","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"4","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"CHUC",2,141,"S","","NE","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"5","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"LASP",3,16,"S","","W","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"6","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"VESP",3,20,"S","","N","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"7","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"VESP",4,84,"S","","E","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"8","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"VESP",4,51,"S","","W","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"9","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"GTTO",4,38,"S","","NW","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
"10","ben_zimmermann","UT-B30","Y3","V1","20240514","04","09:28",1,"",0,1,"WEME",5,42,"S","","E","U",NA,8,15,2,1,"Clear",-114.00739399,41.86731,". "
