"","Observer.ID","Route.ID","Year","Visit","Date","Point.ID","Point.Start.Time","Shrub.Cover","Shrub.Height","Cheatgrass.Cover","Trees.Count","Species","Minute","Distance","How.Detected","Song.Also","Direction","Sex","Group.Size","Temp.Start","Temp.End","Wind.Start","Wind.End","Sky.End","X.Coord","Y.Coord","Notes"
"1","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"WEME",1,50,"V","Y","NW","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"2","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"WEME",1,70,"V","Y","SE","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"3","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"SACR",2,100,"S","Y","W","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"4","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",2,80,"S","Y","N","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"5","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"CORA",2,100,"S","Y","N","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"6","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"UNOW",3,90,"C","N","NE","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"7","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"WEME",3,40,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"8","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",3,50,"S","Y","W","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"9","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",4,60,"S","Y","SW","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"10","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",5,60,"S","Y","S","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"11","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"SACR",6,NA,"","","","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"12","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",5,60,"S","Y","E","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"13","emily_hughie","UT-B27","Y3","V1","20240514","16","05:50",3,"",4,10,"VESP",6,70,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029307664682,41.8897616807652,". "
"14","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"VESP",1,40,"S","Y","NW","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"15","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"WEME",1,60,"S","Y","N","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"16","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"VESP",1,70,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"17","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"WEME",2,70,"S","Y","E","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"18","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"WEME",2,40,"C","N","SW","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"19","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"WEME",3,40,"S","Y","NW","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"20","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"VESP",3,80,"S","Y","N","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"21","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"MODO",3,100,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"22","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"VESP",3,80,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"23","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"VESP",4,60,"S","Y","SE","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"24","emily_hughie","UT-B27","Y3","V1","20240514","12","06:04",2,"",0,11,"CORA",4,90,"C","N","S","U",NA,9,10,1,1,"Clear",-114.029174312581,41.8919631294681,". "
"25","emily_hughie","UT-B27","Y3","V1","20240514","08","06:17",1,"",3,5,"BRSP",1,70,"S","Y","NE","U",NA,9,10,1,1,"Clear",-114.029080785064,41.8941920776379,". "
"26","emily_hughie","UT-B27","Y3","V1","20240514","08","06:17",1,"",3,5,"VESP",1,50,"S","Y","N","U",NA,9,10,1,1,"Clear",-114.029080785064,41.8941920776379,". "
