"","Observer.ID","Route.ID","Year","Visit","Date","Point.ID","Point.Start.Time","Shrub.Cover","Cheatgrass.Cover","Trees.Count","Species","Minute","Distance","How.Detected","Song.Also","Direction","Sex","Group.Size","Temp.Start","Temp.End","Wind.Start","Wind.End","Sky.End","X.Coord","Y.Coord","Notes"
"1","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",1,67,"S","","NE","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"2","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",1,110,"S","","W","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"3","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",1,111,"C","","SW","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"4","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",1,76,"C","","N","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"5","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",2,88,"S","","NW","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"6","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"VESP",2,105,"S","","N","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"7","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"VESP",3,83,"S","","NE","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"8","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"WEME",3,186,"S","","E","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"9","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"HOLA",3,65,"S","","NE","U",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
"10","will_harrod","UT-B01","Y3","V1","20240509","15","06:36",1,10,0,"NOBI",4,NA,"","","","",NA,4,7,4,4,"Partly Cloudy",-113.713314506172,41.5298128089149,"Wind was very loud until 8:30. Definitely limited ability to hear some songs. "
